"Player_ID";"Deposit_Amount";"Withdraw_Amount";"Number_of_Games_Played";"Loyalty_Points";"Rank_Position"
804;30000;0;0;300;193
493;30000;0;0;300;193
547;30000;0;0;300;193
456;30000;0;0;300;193
866;30000;0;0;300;193
651;30000;0;0;300;193
238;30000;0;0;300;193
340;30000;0;0;300;193
208;30000;0;0;300;193
547;30000;0;0;300;193
208;30000;0;0;300;193
238;30000;0;0;300;193
547;30000;0;0;300;193
153;30000;0;0;300;193
772;30000;0;0;300;193
856;30000;0;0;300;193
468;30000;0;0;300;193
467;30000;0;0;300;193
967;30000;0;0;300;193
366;30000;0;0;300;193
344;30000;0;0;300;193
439;30000;0;0;300;193
28;30000;0;0;300;193
675;30000;0;0;300;193
495;30000;0;0;300;193
178;30000;0;0;300;193
566;30000;0;0;300;193
625;30000;0;0;300;193
352;30000;0;0;300;193
740;30000;0;0;300;193
317;30000;0;0;300;193
411;30000;0;0;300;193
344;30000;0;0;300;193
495;30000;0;0;300;193
356;28000;0;0;280;235
966;27500;0;0;275;236
566;26000;0;0;260;237
449;25700;0;0;257;238
30;25000;0;0;250;239
978;25004;0;0;250;239
82;25000;0;0;250;239
141;25000;0;0;250;239
173;25000;0;0;250;239
587;25000;0;0;250;239
965;25000;0;0;250;239
962;25000;0;0;250;239
651;25000;0;0;250;239
212;25000;0;0;250;239
834;25000;0;0;250;239
962;25000;0;0;250;239
546;25000;0;0;250;239
352;25000;0;0;250;239
372;25000;0;0;250;239
636;25000;0;0;250;239
30;25000;0;0;250;239
28;25000;0;0;250;239
336;25000;0;0;250;239
130;25000;0;0;250;239
259;25000;0;0;250;239
601;25000;0;0;250;239
681;25000;0;0;250;239
352;25000;0;0;250;239
28;25000;0;0;250;239
599;25000;0;0;250;239
279;25000;0;0;250;239
866;25000;0;0;250;239
366;25000;0;0;250;239
890;25000;0;0;250;239
101;25000;0;0;250;239
962;25000;0;0;250;239
352;25000;0;0;250;239
279;25000;0;0;250;239
30;25000;0;0;250;239
854;25000;0;0;250;239
464;25000;0;0;250;239
612;25000;0;0;250;239
30;25000;0;0;250;239
208;25000;0;0;250;239
200;25000;0;0;250;239
854;25000;0;0;250;239
810;25000;0;0;250;239
978;25000;0;0;250;239
173;25000;0;0;250;239
352;25000;0;0;250;239
366;25000;0;0;250;239
652;25000;0;0;250;239
28;25000;0;0;250;239
833;25000;0;0;250;239
730;25000;0;0;250;239
28;25000;0;0;250;239
735;25000;0;0;250;239
202;25000;0;0;250;239
203;25000;0;0;250;239
681;25000;0;0;250;239
546;25000;0;0;250;239
130;25000;0;0;250;239
16;25000;0;0;250;239
202;25000;0;0;250;239
372;25000;0;0;250;239
464;25000;0;0;250;239
222;25000;0;0;250;239
153;25000;0;0;250;239
70;25000;0;0;250;239
710;25000;0;0;250;239
833;25000;0;0;250;239
977;25000;0;0;250;239
989;25000;0;0;250;239
366;25000;0;0;250;239
141;25000;0;0;250;239
464;25000;0;0;250;239
372;25000;0;0;250;239
173;25000;0;0;250;239
989;25000;0;0;250;239
238;25000;0;0;250;239
714;25000;0;0;250;239
237;25000;0;0;250;239
854;25000;0;0;250;239
317;25000;0;0;250;239
740;24000;0;0;240;319
245;24000;0;0;240;319
740;24000;0;0;240;319
446;24000;0;0;240;319
740;24000;0;0;240;319
245;24000;0;0;240;319
202;24000;0;0;240;319
294;24000;0;0;240;319
344;24000;0;0;240;319
764;24000;0;0;240;319
740;24000;0;0;240;319
740;24000;0;0;240;319
294;24000;0;0;240;319
245;24000;0;0;240;319
294;24000;0;0;240;319
678;24000;0;0;240;319
417;23000;0;0;230;335
294;23000;0;0;230;335
294;23000;0;0;230;335
294;22000;0;0;220;338
202;22000;0;0;220;338
146;22000;0;0;220;338
130;22000;0;0;220;338
28;22000;0;0;220;338
366;21000;0;0;210;343
830;21000;0;0;210;343
238;21000;0;0;210;343
28;21000;0;0;210;343
687;20463;0;0;205;347
181;20000;0;0;200;348
370;20000;0;0;200;348
950;20000;0;0;200;348
740;20000;0;0;200;348
183;20000;0;0;200;348
566;20000;0;0;200;348
306;20000;0;0;200;348
421;20000;0;0;200;348
352;20000;0;0;200;348
675;20000;0;0;200;348
30;20000;0;0;200;348
786;20000;0;0;200;348
740;20000;0;0;200;348
866;20000;0;0;200;348
678;20000;0;0;200;348
714;20000;0;0;200;348
354;20000;0;0;200;348
577;20000;0;0;200;348
28;20000;0;0;200;348
854;20000;0;0;200;348
336;20000;0;0;200;348
146;20000;0;0;200;348
915;20000;0;0;200;348
126;20000;0;0;200;348
959;20000;0;0;200;348
581;20000;0;0;200;348
601;20000;0;0;200;348
30;20000;0;0;200;348
70;20000;0;0;200;348
577;20000;0;0;200;348
126;20000;0;0;200;348
63;20000;0;0;200;348
181;20000;0;0;200;348
306;20000;0;0;200;348
344;20000;0;0;200;348
496;20000;0;0;200;348
357;20000;0;0;200;348
93;20000;0;0;200;348
920;20000;0;0;200;348
93;20000;0;0;200;348
619;20000;0;0;200;348
727;20000;0;0;200;348
786;20000;0;0;200;348
