"Player_ID";"Activity_Date";"Deposit_Amount";"Withdraw_Amount";"Number_of_Games_Played";"Loyalty_Points"
518;"1/10/2022";100;0;0;1
443;"1/10/2022";1000;0;0;10
807;"1/10/2022";500;0;0;5
193;"1/10/2022";4000;0;0;40
44;"1/10/2022";400;0;0;4
183;"1/10/2022";20000;0;0;200
255;"1/10/2022";500;0;0;5
218;"1/10/2022";2000;0;0;20
967;"1/10/2022";2500;0;0;25
614;"1/10/2022";600;0;0;6
987;"1/10/2022";2000;0;0;20
248;"1/10/2022";500;0;0;5
341;"1/10/2022";5000;0;0;50
373;"1/10/2022";10000;0;0;100
294;"1/10/2022";7700;0;0;77
637;"1/10/2022";250;0;0;3
972;"1/10/2022";50;0;0;1
605;"1/10/2022";4000;0;0;40
39;"1/10/2022";2000;0;0;20
667;"1/10/2022";1500;0;0;15
663;"1/10/2022";5000;0;0;50
125;"1/10/2022";300;0;0;3
660;"1/10/2022";510;0;0;5
70;"1/10/2022";15000;0;0;150
613;"1/10/2022";500;0;0;5
795;"1/10/2022";100;0;0;1
915;"1/10/2022";12000;0;0;120
248;"1/10/2022";300;0;0;3
176;"1/10/2022";1000;0;0;10
853;"1/10/2022";2222;0;0;22
458;"1/10/2022";500;0;0;5
448;"1/10/2022";5000;0;0;50
587;"1/10/2022";3000;0;0;30
658;"1/10/2022";1000;0;0;10
31;"1/10/2022";100;0;0;1
60;"1/10/2022";2000;0;0;20
400;"1/10/2022";5000;0;0;50
587;"1/10/2022";12000;0;0;120
17;"1/10/2022";500;0;0;5
548;"1/10/2022";1000;0;0;10
526;"1/10/2022";850;0;0;9
222;"1/10/2022";150000;0;0;1500
529;"1/10/2022";5000;0;0;50
798;"1/10/2022";3000;0;0;30
744;"1/10/2022";2000;0;0;20
12;"1/10/2022";4000;0;0;40
327;"1/10/2022";75;0;0;1
907;"1/10/2022";200;0;0;2
314;"1/10/2022";1000;0;0;10
97;"1/10/2022";1000;0;0;10
740;"1/10/2022";10000;0;0;100
428;"1/10/2022";1000;0;0;10
505;"1/10/2022";10000;0;0;100
190;"1/10/2022";800;0;0;8
856;"1/10/2022";5000;0;0;50
450;"1/10/2022";500;0;0;5
44;"1/10/2022";500;0;0;5
948;"1/10/2022";1000;0;0;10
560;"1/10/2022";6000;0;0;60
926;"1/10/2022";200;0;0;2
455;"1/10/2022";5000;0;0;50
931;"1/10/2022";1050;0;0;11
22;"1/10/2022";1000;0;0;10
539;"1/10/2022";1100;0;0;11
950;"1/10/2022";12000;0;0;120
985;"1/10/2022";2000;0;0;20
586;"1/10/2022";1000;0;0;10
566;"1/10/2022";20000;0;0;200
259;"1/10/2022";4500;0;0;45
259;"1/10/2022";15500;0;0;155
305;"1/10/2022";1500;0;0;15
945;"1/10/2022";2000;0;0;20
306;"1/10/2022";20000;0;0;200
667;"1/10/2022";1000;0;0;10
72;"1/10/2022";600;0;0;6
72;"1/10/2022";1000;0;0;10
296;"1/10/2022";1000;0;0;10
779;"1/10/2022";5100;0;0;51
654;"1/10/2022";999;0;0;10
795;"1/10/2022";2000;0;0;20
526;"1/10/2022";10000;0;0;100
682;"1/10/2022";2000;0;0;20
408;"1/10/2022";700;0;0;7
106;"1/10/2022";2200;0;0;22
299;"1/10/2022";30000;0;0;300
586;"1/10/2022";2000;0;0;20
987;"1/10/2022";4000;0;0;40
896;"1/10/2022";10000;0;0;100
871;"1/10/2022";8000;0;0;80
294;"1/10/2022";10000;0;0;100
82;"1/10/2022";25000;0;0;250
18;"1/10/2022";200;0;0;2
426;"1/10/2022";2500;0;0;25
5;"1/10/2022";1000;0;0;10
663;"1/10/2022";10000;0;0;100
963;"1/10/2022";2000;0;0;20
280;"1/10/2022";500;0;0;5
525;"1/10/2022";500;0;0;5
871;"1/10/2022";5000;0;0;50
681;"1/10/2022";10000;0;0;100
639;"1/10/2022";2000;0;0;20
80;"1/10/2022";5500;0;0;55
351;"1/10/2022";100;0;0;1
220;"1/10/2022";2500;0;0;25
850;"1/10/2022";500;0;0;5
348;"1/10/2022";4000;0;0;40
85;"1/10/2022";2000;0;0;20
763;"1/10/2022";2000;0;0;20
777;"1/10/2022";1000;0;0;10
338;"1/10/2022";2000;0;0;20
342;"1/10/2022";2000;0;0;20
673;"1/10/2022";550;0;0;6
426;"1/10/2022";5000;0;0;50
829;"1/10/2022";1000;0;0;10
106;"1/10/2022";899;0;0;9
139;"1/10/2022";373;0;0;4
157;"1/10/2022";2000;0;0;20
53;"1/10/2022";7500;0;0;75
254;"1/10/2022";1800;0;0;18
185;"1/10/2022";2000;0;0;20
519;"1/10/2022";2005;0;0;20
351;"1/10/2022";400;0;0;4
378;"1/10/2022";2750;0;0;28
784;"1/10/2022";2000;0;0;20
913;"1/10/2022";12000;0;0;120
926;"1/10/2022";500;0;0;5
614;"1/10/2022";1200;0;0;12
633;"1/10/2022";1000;0;0;10
193;"1/10/2022";1000;0;0;10
536;"1/10/2022";50;0;0;1
744;"1/10/2022";500;0;0;5
690;"1/10/2022";50;0;0;1
656;"1/10/2022";1000;0;0;10
690;"1/10/2022";500;0;0;5
393;"1/10/2022";300;0;0;3
649;"1/10/2022";5000;0;0;50
289;"1/10/2022";1000;0;0;10
798;"1/10/2022";7000;0;0;70
187;"1/10/2022";5000;0;0;50
654;"1/10/2022";2100;0;0;21
158;"1/10/2022";2000;0;0;20
999;"1/10/2022";2000;0;0;20
58;"1/10/2022";50;0;0;1
599;"1/10/2022";6000;0;0;60
214;"1/10/2022";5500;0;0;55
271;"1/10/2022";10000;0;0;100
289;"1/10/2022";2000;0;0;20
467;"1/10/2022";1600;0;0;16
854;"1/10/2022";10000;0;0;100
869;"1/10/2022";10000;0;0;100
47;"1/10/2022";5000;0;0;50
103;"1/10/2022";1000;0;0;10
920;"1/10/2022";2000;0;0;20
667;"1/10/2022";500;0;0;5
803;"1/10/2022";10000;0;0;100
2;"1/10/2022";40000;0;0;400
985;"1/10/2022";10000;0;0;100
381;"1/10/2022";1000;0;0;10
695;"1/10/2022";52;0;0;1
875;"1/10/2022";1000;0;0;10
478;"1/10/2022";500;0;0;5
446;"1/10/2022";12000;0;0;120
257;"1/10/2022";10000;0;0;100
9;"1/10/2022";1962;0;0;20
596;"1/10/2022";5000;0;0;50
97;"1/10/2022";2000;0;0;20
614;"1/10/2022";3000;0;0;30
90;"1/10/2022";1000;0;0;10
458;"1/10/2022";1000;0;0;10
379;"1/10/2022";333;0;0;3
299;"1/10/2022";2000;0;0;20
259;"1/10/2022";6500;0;0;65
519;"1/10/2022";1003;0;0;10
539;"1/10/2022";2200;0;0;22
421;"1/10/2022";20000;0;0;200
107;"1/10/2022";2000;0;0;20
931;"1/10/2022";3750;0;0;38
840;"1/10/2022";4000;0;0;40
783;"1/10/2022";100;0;0;1
294;"1/10/2022";12000;0;0;120
452;"1/10/2022";2000;0;0;20
644;"1/10/2022";500;0;0;5
77;"1/10/2022";1500;0;0;15
46;"1/10/2022";1000;0;0;10
422;"1/10/2022";12000;0;0;120
932;"1/10/2022";1000;0;0;10
467;"1/10/2022";30000;0;0;300
776;"1/10/2022";500;0;0;5
145;"1/10/2022";4000;0;0;40
55;"1/10/2022";4000;0;0;40
864;"1/10/2022";6000;0;0;60
708;"1/10/2022";6570;0;0;66
726;"1/10/2022";50;0;0;1
141;"1/10/2022";25000;0;0;250
534;"1/10/2022";200;0;0;2
519;"1/10/2022";2013;0;0;20
50;"1/10/2022";1000;0;0;10
644;"1/10/2022";1500;0;0;15
133;"1/10/2022";150;0;0;2
289;"1/10/2022";3000;0;0;30
936;"1/10/2022";3000;0;0;30
637;"1/10/2022";3400;0;0;34
538;"1/10/2022";40000;0;0;400
587;"1/10/2022";10000;0;0;100
352;"1/10/2022";4600;0;0;46
417;"1/10/2022";17000;0;0;170
547;"1/10/2022";5000;0;0;50
450;"1/10/2022";250;0;0;3
922;"1/10/2022";50000;0;0;500
475;"1/10/2022";5000;0;0;50
652;"1/10/2022";11000;0;0;110
944;"1/10/2022";500;0;0;5
678;"1/10/2022";12000;0;0;120
959;"1/10/2022";2000;0;0;20
607;"1/10/2022";2000;0;0;20
461;"1/10/2022";5000;0;0;50
776;"1/10/2022";5000;0;0;50
219;"1/10/2022";500;0;0;5
365;"1/10/2022";12000;0;0;120
473;"1/10/2022";10000;0;0;100
628;"1/10/2022";935;0;0;9
888;"1/10/2022";500;0;0;5
193;"1/10/2022";2000;0;0;20
950;"1/10/2022";4000;0;0;40
539;"1/10/2022";7500;0;0;75
931;"1/10/2022";1100;0;0;11
429;"1/10/2022";500;0;0;5
16;"1/10/2022";3000;0;0;30
972;"1/10/2022";300;0;0;3
104;"1/10/2022";10000;0;0;100
982;"1/10/2022";1250;0;0;13
327;"1/10/2022";647;0;0;6
721;"1/10/2022";8000;0;0;80
306;"1/10/2022";50000;0;0;500
505;"1/10/2022";2000;0;0;20
700;"1/10/2022";5000;0;0;50
218;"1/10/2022";4000;0;0;40
497;"1/10/2022";300;0;0;3
786;"1/10/2022";30000;0;0;300
978;"1/10/2022";4444;0;0;44
280;"1/10/2022";700;0;0;7
744;"1/10/2022";200;0;0;2
240;"1/10/2022";10000;0;0;100
309;"1/10/2022";2000;0;0;20
909;"1/10/2022";6000;0;0;60
811;"1/10/2022";1035;0;0;10
924;"1/10/2022";1500;0;0;15
380;"1/10/2022";70;0;0;1
744;"1/10/2022";250;0;0;3
259;"1/10/2022";7500;0;0;75
805;"1/10/2022";5000;0;0;50
920;"1/10/2022";10000;0;0;100
